Character,Field,Value
Oliver Battersby,Last appearance,27th November 2020
Oliver Battersby,Duration,2017-2020
Oliver Battersby,Number of appearances,139
Oliver Battersby,Played by,Toby Catley (2017) Emmanuel & Jeremiah Cheetham (2017-2020)
Karl Munro,Occupation,Barman
Karl Munro,Born,27th April 1963
Karl Munro,Spouse(s),Stella Price (2013)
Karl Munro,First appearance,17th June 2011
Karl Munro,Last appearance,13th September 2013
Karl Munro,Duration,2011-2013
Karl Munro,Number of appearances,305
Karl Munro,Played by,John Michie
Emily Bishop,Occupation,Shop assistant (retired)
Emily Bishop,Born,18th October 1929
Emily Bishop,Birthplace,Harrogate
Emily Bishop,Residence,"16a Turnham Street, Edinburgh"
Emily Bishop,Father,James Nugent
Emily Bishop,Mother,Agnes Nugent
Emily Bishop,Sibling(s),Edgar NugentNorah SeddonBrenda NugentJoan CorrieMarjorie Nugent
Emily Bishop,Spouse(s),"Ernest Bishop (1972)  Arnold Swain (1980, bigamous)"
Emily Bishop,First appearance,21st December 1960 (uncredited walk on actress)  27th January 1961 (first appearance by Eileen Derbyshire)
Emily Bishop,Last appearance,9th October 2019
Emily Bishop,Duration,"1960-1961, 1962-1966, 1967-2016, 2019"
Emily Bishop,Number of appearances,3303
Emily Bishop,Played by,Eileen Derbyshire
Chris Collins,Occupation,Mechanic
Chris Collins,Born,c.1976
Chris Collins,Residence,Coventry
Chris Collins,First appearance,3rd March 1997
Chris Collins,Last appearance,29th March 1998
Chris Collins,Duration,1997-1998
Chris Collins,Number of appearances,137
Chris Collins,Played by,Matthew Marsden
Stan Ogden,Occupation,Window cleaner (retired)
Stan Ogden,Born,17th May 1919
Stan Ogden,Birthplace,Weatherfield
Stan Ogden,Died,21st November 1984
Stan Ogden,Father,Isaiah Ogden
Stan Ogden,Mother,Mary Ogden
Stan Ogden,Sibling(s),A brother
Stan Ogden,Spouse(s),Hilda Crabtree (1943)
Stan Ogden,Children,Irma Barlow (1946)  Trevor Ogden (1949) Sylvia Ogden  Tony Ogden
Stan Ogden,First appearance,29th June 1964
Stan Ogden,Last appearance,7th March 1984
Stan Ogden,Duration,1964-1984
Stan Ogden,Number of appearances,1226
Stan Ogden,Played by,Bernard Youens
Phill Whittaker,Born,8th December 1975
Phill Whittaker,Residence,6 Copson Avenue
Phill Whittaker,Mother,Mimi Halliday
Phill Whittaker,Spouse(s),Camilla Perrin  Fiz Stape (2022)
Phill Whittaker,First appearance,16th July 2021
Phill Whittaker,Last appearance,25th July 2022
Phill Whittaker,Duration,2021-2022
Phill Whittaker,Number of appearances,80
Phill Whittaker,Played by,Jamie Kenna
Paul Clayton,Occupation,Chef
Paul Clayton,Born,16th February 1986
Paul Clayton,Father,Terry Duckworth
Paul Clayton,Mother,Andrea Clayton
Paul Clayton,Sibling(s),Tommy Duckworth (half-brother)  Brad Armstrong (half-brother)
Paul Clayton,First appearance,29th November 2000
Paul Clayton,Last appearance,25th May 2008
Paul Clayton,Duration,"2000, 2001, 2007-2008"
Paul Clayton,Number of appearances,113
Paul Clayton,Played by,"Lee Booth (2000, 2001)  Tom Hudson (2007-2008)"
Samir Rachid,Occupation,Waiter
Samir Rachid,Born,14th January 1973
Samir Rachid,Birthplace,Morocco
Samir Rachid,Died,2nd June 1995
Samir Rachid,Sibling(s),A younger sister
Samir Rachid,Spouse(s),Deirdre Barlow (1994)
Samir Rachid,First appearance,24th August 1994
Samir Rachid,Last appearance,2nd June 1995
Samir Rachid,Duration,1994-1995
Samir Rachid,Number of appearances,67
Samir Rachid,Played by,Al Nedjari
Charlie Whelan,Occupation,Lorry driver
Charlie Whelan,First appearance,27th December 1993
Charlie Whelan,Last appearance,14th October 1994
Charlie Whelan,Duration,1993-1994
Charlie Whelan,Number of appearances,59
Charlie Whelan,Played by,John St. Ryan
Ida Barlow,Occupation,Cleaner
Ida Barlow,Born,16th December 1916
Ida Barlow,Birthplace,Weatherfield
Ida Barlow,Died,11th September 1961
Ida Barlow,Father,George Leathers
Ida Barlow,Mother,Nancy Leathers
Ida Barlow,Sibling(s),Ethel LeathersVera Leathers
Ida Barlow,Spouse(s),Frank Barlow (1938)
Ida Barlow,Children,Ken Barlow (1939)David Barlow (1942)
Ida Barlow,First appearance,9th December 1960
Ida Barlow,Last appearance,6th September 1961
Ida Barlow,Duration,1960-1961
Ida Barlow,Number of appearances,41
Ida Barlow,Played by,Noel Dyson
Sandra Butler,Occupation,Hairdresser
Sandra Butler,Born,c.1952
Sandra Butler,Residence,London
Sandra Butler,Father,Terry Butler
Sandra Butler,Mother,Fay Butler
Sandra Butler,Sibling(s),Bernard Butler
Sandra Butler,First appearance,17th November 1969
Sandra Butler,Last appearance,31st August 1970
Sandra Butler,Duration,1969-1970
Sandra Butler,Number of appearances,51
Sandra Butler,Played by,Patricia Fuller
Harry Platt,Born,21st March 2016
Harry Platt,Birthplace,Weatherfield General
Harry Platt,Residence,7 Redbank Apartments
Harry Platt,Father,Callum Logan
Harry Platt,Mother,Sarah Platt
Harry Platt,Sibling(s),Bethany Platt (half-sister)Billy Platt (half-brother)Max Turner (half-brother)
Harry Platt,First appearance,21st March 2016
Harry Platt,Duration,2016 to present
Harry Platt,Number of appearances,162 (as of Episode 11557/8)
Harry Platt,Played by,Woody Illsley (2016)  Pixie & Presley Sellars (2016-2017)Freddie & Isaac Rhodes (2017-2024)Carter-J Murphy (2024 to present)
Betsy Swain,Occupation,Machinist
Betsy Swain,Born,c.2008
Betsy Swain,Residence,15a Victoria Street
Betsy Swain,Mother,Becky Swain (biological)Lisa Swain
Betsy Swain,First appearance,28th May 2024
Betsy Swain,Duration,2024 to present
Betsy Swain,Number of appearances,133 (as of Episode 11557/8)
Betsy Swain,Played by,Sydney Martin
Steve McDonald,Occupation,Co-owner of Street Cars
Steve McDonald,Born,26th June 1974
Steve McDonald,Birthplace,Belfast
Steve McDonald,Residence,1 Coronation Street
Steve McDonald,Father,Jim McDonald
Steve McDonald,Mother,Liz McDonald
Steve McDonald,Sibling(s),Andy McDonaldKatie McDonald
Steve McDonald,Spouse(s),"Vicky Arden (1995)Karen Phillips (2001, 2004)Becky Granger (2009)Tracy Barlow (2012, 2018)Michelle Connor (2015)"
Steve McDonald,Children,Emma Brooker (1999)Amy Barlow (2004)Ruairi McDonald (2017)Oliver Battersby (2017)
Steve McDonald,First appearance,6th December 1989
Steve McDonald,Duration,1989 to present
Steve McDonald,Number of appearances,3780 (as of Episode 11557/8)
Steve McDonald,Played by,Simon Gregson
Cyril Turpin,Occupation,Police sergeant
Cyril Turpin,Born,c.1920
Cyril Turpin,Died,20th February 1974
Cyril Turpin,Sibling(s),Minnie
Cyril Turpin,Spouse(s),Elizabeth Preston
Cyril Turpin,First appearance,4th June 1969
Cyril Turpin,Last appearance,19th July 1972
Cyril Turpin,Duration,"1969-1970, 1972"
Cyril Turpin,Number of appearances,74
Cyril Turpin,Played by,William Moore
Susan Barlow,Born,5th April 1965
Susan Barlow,Birthplace,Weatherfield
Susan Barlow,Died,11th February 2001
Susan Barlow,Father,Ken Barlow
Susan Barlow,Mother,Valerie Barlow
Susan Barlow,Sibling(s),Lawrence Cunningham (half-brother) Peter Barlow Tracy Barlow (adoptive half-sister) Daniel Osbourne (half-brother)
Susan Barlow,Spouse(s),Mike Baldwin (1986)
Susan Barlow,Children,Adam Barlow (1988)
Susan Barlow,First appearance,5th April 1965
Susan Barlow,Last appearance,11th February 2001
Susan Barlow,Duration,"1965-1971, 1973, 1974, 1979-1980, 1981, 1985-1987, 2001"
Susan Barlow,Number of appearances,177
Susan Barlow,Played by,"Katie Heanue (1965-1970)Wendy Jane Walker (1970-1974, 1985-1987) Suzy Paterson (1979-1981)Joanna Foster (2001)"
Tyrone Dobbs,Occupation,Co-owner of Websters' Auto Centre
Tyrone Dobbs,Born,17th December 1982
Tyrone Dobbs,Birthplace,Liverpool
Tyrone Dobbs,Residence,9 Coronation Street
Tyrone Dobbs,Mother,Cassandra Plummer
Tyrone Dobbs,Spouse(s),Molly Compton (2009)Fiz Stape (2022)
Tyrone Dobbs,Children,Ruby Soames (2012)Dorin Pop (2022)
Tyrone Dobbs,First appearance,30th November 1998
Tyrone Dobbs,Duration,1998 to present
Tyrone Dobbs,Number of appearances,2645 (as of Episode 11557/8)
Tyrone Dobbs,Played by,Alan Halsall
Bernard Butler,Occupation,Hairdresser
Bernard Butler,Residence,Saddleworth
Bernard Butler,Father,Terry Butler
Bernard Butler,Mother,Fay Butler
Bernard Butler,Sibling(s),Sandra Butler
Bernard Butler,First appearance,17th November 1969
Bernard Butler,Last appearance,29th June 1970
Bernard Butler,Duration,1969-1970
Bernard Butler,Number of appearances,37
Bernard Butler,Played by,Gorden Kaye
Steve Fisher,Occupation,Trainee/Assistant Manager at Baldwin's Casuals
Steve Fisher,Born,8th May 1957
Steve Fisher,Birthplace,Weatherfield
Steve Fisher,Residence,London
Steve Fisher,First appearance,29th August 1977
Steve Fisher,Last appearance,10th December 1979
Steve Fisher,Duration,1977-1979
Steve Fisher,Number of appearances,112
Steve Fisher,Played by,Lawrence Mullin
Kal Nazir,Occupation,Personal trainer
Kal Nazir,Born,c. 1972
Kal Nazir,Died,25th May 2015
Kal Nazir,Father,Sharif Nazir
Kal Nazir,Mother,Yasmeen Nazir
Kal Nazir,Spouse(s),Jamila Nazir
Kal Nazir,Children,Alya Nazir (1993) Zeedan Nazir (1995)
Kal Nazir,First appearance,8th December 2013
Kal Nazir,Last appearance,28th May 2015
Kal Nazir,Duration,2013-2015
Kal Nazir,Number of appearances,146
Kal Nazir,Played by,Jimi Mistry
Chris Gray,Occupation,Builder
Chris Gray,Spouse(s),Cheryl Gray
Chris Gray,Children,Russell Gray
Chris Gray,First appearance,1st July 2010
Chris Gray,Last appearance,21st November 2011
Chris Gray,Duration,2010-2011
Chris Gray,Number of appearances,109
Chris Gray,Played by,Will Thorp
Alya Nazir,Occupation,Co-owner of Speed Daal  Solicitor (trainee)
Alya Nazir,Born,17th February 1993
Alya Nazir,Residence,6 Coronation Street
Alya Nazir,Father,Kal Nazir
Alya Nazir,Mother,Jamila Nazir
Alya Nazir,Sibling(s),Zeedan Nazir
Alya Nazir,First appearance,25th June 2014
Alya Nazir,Duration,2014 to present
Alya Nazir,Number of appearances,940 (as of Episode 11557/8)
Alya Nazir,Played by,Sair Khan
Nathan Cooper,Occupation,Mechanic
Nathan Cooper,First appearance,1st April 2005
Nathan Cooper,Last appearance,19th July 2006
Nathan Cooper,Duration,2005-2006
Nathan Cooper,Number of appearances,99
Nathan Cooper,Played by,Ray Fearon
Faye Windass,Occupation,Telesales agent
Faye Windass,Born,13th March 2002
Faye Windass,Residence,Slough
Faye Windass,Father,Tim Metcalfe
Faye Windass,Mother,"Jenny Butler  Anna Windass (adoptive, 2011)"
Faye Windass,Sibling(s),Gary Windass (adoptive half-brother)
Faye Windass,Children,Miley Windass (2015)
Faye Windass,First appearance,24th January 2011
Faye Windass,Last appearance,24th May 2023
Faye Windass,Duration,2011-2023
Faye Windass,Number of appearances,759
Faye Windass,Played by,Ellie Leach
Emma Brooker,Occupation,Barmaid  Hairdresser
Emma Brooker,Born,3rd May 1999
Emma Brooker,Residence,Australia
Emma Brooker,Father,Steve McDonald
Emma Brooker,Mother,Fiona Middleton
Emma Brooker,Sibling(s),Morgan Middleton (half-brother)Amy Barlow (half-sister)Ruairi McDonald (half-brother)Oliver Battersby (half-brother)
Emma Brooker,First appearance,20th April 2018
Emma Brooker,Last appearance,8th April 2022
Emma Brooker,Duration,2018-2022
Emma Brooker,Number of appearances,391
Emma Brooker,Played by,Alexandra Mardell
Stu Carpenter,Occupation,Chef
Stu Carpenter,Born,10th June 1955
Stu Carpenter,Spouse(s),Lucy Woodrow
Stu Carpenter,Children,Bridget Woodrow
Stu Carpenter,First appearance,6th October 2021
Stu Carpenter,Last appearance,14th October 2024
Stu Carpenter,Duration,2021-2024
Stu Carpenter,Number of appearances,255
Stu Carpenter,Played by,Bill Fellows
Joe McIntyre,Occupation,Kitchen Fitter
Joe McIntyre,Born,11th April 1960
Joe McIntyre,Died,8th February 2010
Joe McIntyre,Spouse(s),Ann McIntyre (divorced)  Gail Platt (2010)
Joe McIntyre,Children,Tina McIntyre (1991)
Joe McIntyre,First appearance,26th May 2008
Joe McIntyre,Last appearance,"8th February 2010 (See ""Background information"" below)"
Joe McIntyre,Duration,2008-2010
Joe McIntyre,Number of appearances,175
Joe McIntyre,Played by,Reece Dinsdale
Angie Freeman,Occupation,Designer
Angie Freeman,Born,20th June 1967
Angie Freeman,Father,Geoffrey Freeman
Angie Freeman,Mother,Ann Freeman
Angie Freeman,First appearance,8th October 1990
Angie Freeman,Last appearance,10th April 1998
Angie Freeman,Duration,"1990-1993, 1996-1998"
Angie Freeman,Number of appearances,345
Angie Freeman,Played by,Deborah McAndrew
Roger Stiles,Occupation,Plumber
Roger Stiles,First appearance,1st January 2007
Roger Stiles,Last appearance,8th October 2008
Roger Stiles,Duration,2007-2008
Roger Stiles,Number of appearances,66
Roger Stiles,Played by,Andrew Dunn
Terry Bradshaw,Occupation,Soldier
Terry Bradshaw,Father,Harold Bradshaw
Terry Bradshaw,Mother,Daisy Hibbert
Terry Bradshaw,Sibling(s),Renee Roberts
Terry Bradshaw,First appearance,2nd February 1976
Terry Bradshaw,Last appearance,22nd December 1976
Terry Bradshaw,Duration,1976
Terry Bradshaw,Number of appearances,48
Terry Bradshaw,Played by,Bob Mason
George Shuttleworth,Occupation,Undertaker
George Shuttleworth,Residence,11 Coronation Street
George Shuttleworth,Father,Archie Shuttleworth
George Shuttleworth,Sibling(s),Glenda Shuttleworth
George Shuttleworth,First appearance,16th September 2020 (2)
George Shuttleworth,Duration,2020 to present
George Shuttleworth,Number of appearances,349 (as of Episode 11557/8)
George Shuttleworth,Played by,Tony Maudsley
Janice Battersby,Occupation,Machinist
Janice Battersby,Born,17th June 1965
Janice Battersby,Birthplace,Weatherfield
Janice Battersby,Residence,Liverpool
Janice Battersby,Father,Rod Lee
Janice Battersby,Mother,Dottie Lee
Janice Battersby,Sibling(s),Janet Lee
Janice Battersby,Spouse(s),Les Battersby (1994)
Janice Battersby,Children,Toyah Lee (1982)
Janice Battersby,First appearance,6th January 1997
Janice Battersby,Last appearance,25th March 2011
Janice Battersby,Duration,1997-2011
Janice Battersby,Number of appearances,1557
Janice Battersby,Played by,Vicky Entwistle
Audrey Fleming,Occupation,Secretary
Audrey Fleming,Born,19th May 1951
Audrey Fleming,Birthplace,Preston
Audrey Fleming,Father,Arthur Bright
Audrey Fleming,Mother,Freda Bright
Audrey Fleming,Spouse(s),Dickie Fleming (1968)
Audrey Fleming,First appearance,5th June 1968
Audrey Fleming,Last appearance,13th May 1970
Audrey Fleming,Duration,1968-1970
Audrey Fleming,Number of appearances,120
Audrey Fleming,Played by,Gillian McCann
Audrey Roberts,Occupation,Hairdresser (retired)Owner/Administrator of Audrey's salon
Audrey Roberts,Born,23rd July 1940
Audrey Roberts,Residence,"5 Grasmere Drive, Oakhill"
Audrey Roberts,Father,Robert Potter
Audrey Roberts,Mother,Nancy Potter
Audrey Roberts,Spouse(s),Alf Roberts (1985)
Audrey Roberts,Children,Stephen Potter (1957)Gail Potter (1958)
Audrey Roberts,First appearance,16th April 1979
Audrey Roberts,Duration,"1979, 1980-1981, 1982, 1984, 1985 to present"
Audrey Roberts,Number of appearances,3439 (as of Episode 11557/8)
Audrey Roberts,Played by,Sue Nicholls
Des Barnes,Occupation,Bookmaker
Des Barnes,Born,24th April 1965
Des Barnes,Birthplace,Hartlepool
Des Barnes,Died,18th November 1998
Des Barnes,Father,Bob Barnes
Des Barnes,Mother,Pat Barnes
Des Barnes,Sibling(s),Colin Barnes
Des Barnes,Spouse(s),Stephanie Jones (1990)Natalie Horrocks (1998)
Des Barnes,First appearance,12th February 1990
Des Barnes,Last appearance,18th November 1998
Des Barnes,Duration,1990-1998
Des Barnes,Number of appearances,772
Des Barnes,Played by,Philip Middlemiss
Esther Hayes,Occupation,Civil servant
Esther Hayes,Born,10th May 1924
Esther Hayes,Birthplace,Weatherfield
Esther Hayes,Residence,Nottingham
Esther Hayes,Father,Sidney Hayes
Esther Hayes,Mother,Alice Hayes
Esther Hayes,Sibling(s),Ada HayesFred Hayes  Tom Hayes
Esther Hayes,First appearance,14th December 1960
Esther Hayes,Last appearance,5th April 1972
Esther Hayes,Duration,"1960-1961, 1962, 1963, 1971, 1972"
Esther Hayes,Number of appearances,64
Esther Hayes,Played by,Daphne Oxenford
Llio Winter-Brown,Born,30th October 2019
Llio Winter-Brown,Birthplace,"Llandudno, Wales"
Llio Winter-Brown,Residence,5 Coronation Street
Llio Winter-Brown,Father,Chesney Winter-Brown
Llio Winter-Brown,Mother,Gemma Winter-Brown
Llio Winter-Brown,Sibling(s),Joseph Brown (half-brother)  Aled Winter-Brown  Bryn Winter-Brown  Carys Winter-Brown
Llio Winter-Brown,First appearance,30th October 2019
Llio Winter-Brown,Duration,"2019-2020, 2022 to present"
Llio Winter-Brown,Number of appearances,92 (as of Episode 11557/8)
Llio Winter-Brown,Played by,James Holt (2019-2020)  Arthur Taylor (2019-2020)  Charlotte Holt (2019-2022)  Lily Taylor (2019-2024)  Lucy Taylor (2019 to present)
Phyllis Pearce,Occupation,Cleaner (retired)previously Waitress
Phyllis Pearce,Born,7th February 1921
Phyllis Pearce,Birthplace,Weatherfield
Phyllis Pearce,Residence,Mayfield Court
Phyllis Pearce,Father,Joshua Grimes
Phyllis Pearce,Mother,Violet Grimes
Phyllis Pearce,Sibling(s),A sister  5 other siblings
Phyllis Pearce,Spouse(s),Harold Pearce (1946)
Phyllis Pearce,Children,Margaret Whitely (1945)
Phyllis Pearce,First appearance,20th September 1982
Phyllis Pearce,Last appearance,1st May 1996
Phyllis Pearce,Duration,"1982-1983, 1984-1993, 1994-1996"
Phyllis Pearce,Number of appearances,505
Phyllis Pearce,Played by,Jill Summers
Steve Tanner,Occupation,Soldier
Steve Tanner,Born,30th October 1924
Steve Tanner,Birthplace,Boston
Steve Tanner,Died,25th September 1968
Steve Tanner,Mother,Emmeline Tanner
Steve Tanner,Spouse(s),Le LanElsie Tanner (1967)
Steve Tanner,First appearance,3rd May 1967
Steve Tanner,Last appearance,27th December 1967
Steve Tanner,Duration,1967
Steve Tanner,Number of appearances,57
Steve Tanner,Played by,Paul Maxwell
Johnny Connor,Occupation,Publican
