Character,Field,Value
Abi Webster,Residence,13 Coronation Street
Adam Barlow,No times married,1.0
Adam Barlow,Father,Mike Baldwin
Adam Barlow,Residence,19a Victoria Street
Adam Barlow,Mother,Susan Barlow
Adam Barlow,Sec,High
Adam Barlow,Occupation,Solicitor at Barlow Legal Services
Adam Barlow,Gender,Male
Adam Barlow,Number of appearances,1107 (as of Episode 11557/8)
Adam Barlow,Spouse(s),Sarah Platt (2020)
Adam Barlow,Bigamy committed,False
Adam Barlow,Sibling(s),Danny Baldwin (half-brother)  Mark Redman (half-brother)
Adam Barlow,Sic,"Professional, scientific & technical activities"
Adam Barlow,Played by,Iain De Caestecker (2001-2003)  Samuel Robertson (2004 to present)
Adam Barlow,Duration,"2001, 2002, 2003, 2004-2007, 2016 to present"
Adam Barlow,Born,3rd May 1988
Adam Barlow,First appearance,14th January 2001
Adam Barlow,Birthplace,Glasgow
Aggie Bailey,Last appearance,12th June 2023
Aggie Bailey,Residence,Birmingham
Aggie Bailey,Children,Michael BaileyDiana Bailey (1995)James Bailey
Aggie Bailey,Occupation,Nurse
Aggie Bailey,Sibling(s),RaymondAt least two sisters
Aggie Bailey,No times married,1.0
Aggie Bailey,Number of appearances,257
Aggie Bailey,Played by,Lorna Laidlaw
Aggie Bailey,Bigamy committed,False
Aggie Bailey,First appearance,12th June 2019
Aggie Bailey,Gender,Female
Aggie Bailey,Spouse(s),Ed Bailey (1990)
Aggie Bailey,Duration,2019-2023
Aggie Bailey,Father,Al
Aggie Bailey,Sec,Medium
Aggie Bailey,Sic,Human health & social work activities
Aidan Connor,Number of appearances,370
Aidan Connor,Gender,Male
Aidan Connor,Last appearance,7th May 2018 (on-screen)  15th August 2018 (footage)
Aidan Connor,Played by,Shayne Ward
Aidan Connor,First appearance,21st August 2015
Aidan Connor,Duration,2015-2018
Aidan Connor,Sibling(s),Carla Connor (half-sister)  Kate Connor
Aidan Connor,Died,7th May 2018
Aidan Connor,Mother,Louisa Connor
Aidan Connor,Born,9th April 1983
Aidan Connor,Children,Susie Price (2018)
Aidan Connor,No times married,0.0
Aidan Connor,Bigamy committed,False
Aidan Connor,Father,Johnny Connor
Aidan Critchley,Bigamy committed,False
Aidan Critchley,Duration,2002-2003
Aidan Critchley,First appearance,12th April 2002
Aidan Critchley,Played by,Dean Ashton
Aidan Critchley,Born,c.1987
Aidan Critchley,No times married,0.0
Aidan Critchley,Gender,Male
Aidan Critchley,Number of appearances,70
Aidan Critchley,Last appearance,17th March 2003
Aidan Critchley,Father,Bob Critchley
Alan Bradley,Children,Jenny Bradley (1971)
Alan Bradley,Bigamy committed,False
Alan Bradley,Sic,Administrative & support services
Alan Bradley,Sec,High
Alan Bradley,Number of appearances,221
Alan Bradley,Last appearance,8th December 1989
Alan Bradley,Occupation,Owner of Weatherfield Security Systems
Alan Bradley,Spouse(s),Pat Bradley
Alan Bradley,No times married,1.0
Alan Bradley,Duration,1986-1989
Alan Bradley,Died,8th December 1989
Alan Bradley,First appearance,15th January 1986
Alan Bradley,Played by,Mark Eden
Alan Bradley,Born,20th July 1939
Alan Bradley,Gender,Male
Alan Howard,Duration,"1969-1974, 1977"
Alan Howard,Children,Mark Howard (c.1952)
Alan Howard,First appearance,1st December 1969
Alan Howard,Bigamy committed,False
Alan Howard,Sic,Financial & insurance activities
Alan Howard,Spouse(s),Laura Howard Elsie Tanner (1970)
Alan Howard,Sec,High
Alan Howard,Born,23rd April 1924
Alan Howard,Residence,Gateshead
Alan Howard,Occupation,Businessman
Alan Howard,No times married,1.0
Alan Howard,Sibling(s),Three brothers
Alan Howard,Gender,Male
Alan Howard,Played by,Alan Browning
Alan Howard,Last appearance,16th January 1974 (on-screen)20th July 1977 (voice appearance)
Alan Howard,Number of appearances,256
Alan McKenna,Children,Morgan Middleton (1998)
Alan McKenna,Last appearance,10th November 1997
Alan McKenna,First appearance,8th November 1996
Alan McKenna,Mother,Mary McKenna
Alan McKenna,Played by,Glenn Hugill
Alan McKenna,Bigamy committed,False
Alan McKenna,Sec,Medium
Alan McKenna,Gender,Male
Alan McKenna,Sic,Public admin & defence; social security
Alan McKenna,No times married,0.0
Alan McKenna,Birthplace,Darlington
Alan McKenna,Occupation,Detective
Alan McKenna,Father,Bernard McKenna
Alan McKenna,Number of appearances,87
Alan McKenna,Duration,1996-1997
Albert Tatlock,Duration,1960-1984
Albert Tatlock,Sic,Public admin & defence; social security
Albert Tatlock,Born,10th August 1895
Albert Tatlock,Sibling(s),Alfred Tatlock
Albert Tatlock,Bigamy committed,False
Albert Tatlock,Died,14th May 1984
Albert Tatlock,Last appearance,23rd January 1984
Albert Tatlock,Played by,Jack Howarth
Albert Tatlock,Birthplace,Weatherfield
Albert Tatlock,Children,Beattie Tatlock (1933)
Albert Tatlock,Spouse(s),Bessie Vickery (1919)
Albert Tatlock,Mother,Emmeline Tatlock
Albert Tatlock,No times married,1.0
Albert Tatlock,Gender,Male
Albert Tatlock,Sec,Medium
Albert Tatlock,Number of appearances,1304
Albert Tatlock,First appearance,9th December 1960
Albert Tatlock,Occupation,Town Hall clerk (retired)
Albert Tatlock,Father,William Tatlock
Alec Gilroy,No times married,2.0
Alec Gilroy,Father,Reg Gilroy
Alec Gilroy,Duration,"1972, 1975, 1986-1992, 1995, 1996-1998"
Alec Gilroy,Number of appearances,850
Alec Gilroy,Born,22nd May 1935
Alec Gilroy,Mother,Mabel Gilroy
Alec Gilroy,Played by,Roy Barraclough
Alec Gilroy,Sic,Real estate activities
Alec Gilroy,Residence,Brighton
Alec Gilroy,Bigamy committed,False
Alec Gilroy,Gender,Male
Alec Gilroy,Sibling(s),Edna GilroyBrenda Gilroy (half-sister)
Alec Gilroy,Last appearance,30th December 1998
Alec Gilroy,First appearance,26th June 1972
Alec Gilroy,Spouse(s),Joyce Crosby (1955)  Bet Lynch (1987)
Alec Gilroy,Sec,High
Alec Gilroy,Children,Sandra Gilroy (1958)
Alec Gilroy,Occupation,Landlord  Theatrical agent  Nightclub manager
Aled Winter-Brown,First appearance,30th October 2019
Aled Winter-Brown,Number of appearances,105 (as of Episode 11557/8)
Aled Winter-Brown,Father,Chesney Winter-Brown
Aled Winter-Brown,No times married,0.0
Aled Winter-Brown,Gender,Male
Aled Winter-Brown,Birthplace,"Llandudno, Wales"
Aled Winter-Brown,Sibling(s),Joseph Brown (half-brother)  Bryn Winter-Brown  Carys Winter-Brown  Llio Winter-Brown
Aled Winter-Brown,Residence,5 Coronation Street
Aled Winter-Brown,Mother,Gemma Winter-Brown
Aled Winter-Brown,Born,30th October 2019
Aled Winter-Brown,Bigamy committed,False
Aled Winter-Brown,Duration,2019 to present
Aled Winter-Brown,Played by,"Charlotte & James Holt (2019-2020)  Arthur, Lily & Lucy Taylor (2019-2020)  Harry & Harvey Thompson (2020)  Joseph Woods (2021 to present)"
Alex Warner,Father,Alan Matthews
Alex Warner,Bigamy committed,False
Alex Warner,Number of appearances,152 (as of Episode 11557/8)
Alex Warner,Occupation,Waiter at Roy's Rolls
Alex Warner,Born,21st July 1987
Alex Warner,Played by,Liam Bairstow
Alex Warner,Mother,Nessa Warner
Alex Warner,Gender,Male
Alex Warner,First appearance,13th September 2015
Alex Warner,Sic,Accommodation & food services
Alex Warner,Sec,Low
Alex Warner,Duration,2015 to present
Alex Warner,No times married,0.0
Alf Roberts,Last appearance,1st January 1999
Alf Roberts,No times married,3.0
Alf Roberts,Occupation,Shopkeeper
Alf Roberts,Played by,Bryan Mosley
Alf Roberts,Sic,"Wholesale, retail & repair of motor vehicles"
Alf Roberts,Gender,Male
Alf Roberts,Bigamy committed,False
Alf Roberts,Number of appearances,1780
Alf Roberts,Spouse(s),Phyllis Plant (1950)  Renee Bradshaw (1978)  Audrey Potter (1985)
Alf Roberts,Born,7th October 1926
Alf Roberts,Sibling(s),Malcolm Roberts
Alf Roberts,First appearance,8th February 1961
Alf Roberts,Mother,Eileen Roberts
Alf Roberts,Duration,"1961, 1962, 1963, 1967,  1971-1999"
Alf Roberts,Died,1st January 1999
Alf Roberts,Sec,Low
Alf Roberts,Father,Sidney Roberts
Alfie Franklin,Gender,Male
Alfie Franklin,Father,Imran Habeeb
Alfie Franklin,First appearance,7th March 2022
Alfie Franklin,Duration,2022 to present
Alfie Franklin,Born,6th March 2022
Alfie Franklin,No times married,0.0
Alfie Franklin,Birthplace,Weatherfield General
Alfie Franklin,Mother,Abi Webster
Alfie Franklin,Sibling(s),Seb Franklin (half-brother)Charlie Franklin (half-brother)Lexi Franklin (half-sister)
Alfie Franklin,Bigamy committed,False
Alfie Franklin,Number of appearances,65 (as of Episode 11557/8)
Alfie Franklin,Played by,Carter & Oakley Razak Townsend
Alfie Franklin,Residence,13 Coronation Street
Ali Neeson,Occupation,Trainee general practitioner
Ali Neeson,Bigamy committed,False
Ali Neeson,Residence,Liverpool
Ali Neeson,Born,14th January 1992
Ali Neeson,Father,Dean (biological)Nick Neeson (legal father)
Ali Neeson,Sibling(s),Ryan Connor (legal brother)  Ruairi McDonald (half-brother)
Ali Neeson,Number of appearances,215
Ali Neeson,Last appearance,13th March 2020
Ali Neeson,Sec,Medium
Ali Neeson,No times married,0.0
Ali Neeson,Sic,Human health & social work activities
Ali Neeson,Gender,Male
Ali Neeson,Birthplace,Weatherfield
Ali Neeson,Played by,Dario Coates (2007-2008)James Burrows (2018-2020)
Ali Neeson,First appearance,17th December 2007
Ali Neeson,Mother,Michelle Connor (biological)Wendy Neeson (legal mother)
Ali Neeson,Duration,"2007-2008, 2018-2020"
Alina Pop,Number of appearances,180
Alina Pop,Played by,Ruxandra Porojnicu
Alina Pop,Sic,"Wholesale, retail & repair of motor vehicles"
Alina Pop,Sec,Low
Alina Pop,Residence,"Brasov, Romania"
Alina Pop,Children,Dorin Pop (2022)
Alina Pop,No times married,0.0
Alina Pop,Born,c.1998
Alina Pop,Last appearance,18th September 2024 (1)
Alina Pop,Occupation,Telesales agent
Alina Pop,Sibling(s),Andrei
Alina Pop,First appearance,22nd April 2019
Alina Pop,Duration,"2019-2021, 2024"
Alina Pop,Bigamy committed,False
Alina Pop,Gender,Female
Alison Webster,Duration,1998-2000
Alison Webster,Sec,Low
Alison Webster,Bigamy committed,False
Alison Webster,First appearance,28th December 1998
Alison Webster,Died,7th June 2000
Alison Webster,Played by,Naomi Radcliffe
Alison Webster,No times married,1.0
Alison Webster,Occupation,Factory machinist
Alison Webster,Sibling(s),Cheryl Wakefield
Alison Webster,Father,Bob Wakefield
Alison Webster,Children,Jake Webster (2000)
Alison Webster,Sic,Manufacturing
Alison Webster,Mother,Joan Wakefield
Alison Webster,Last appearance,7th June 2000
Alison Webster,Gender,Female
Alison Webster,Spouse(s),Kevin Webster (2000)
Alison Webster,Number of appearances,133
Alma Halliwell,Died,17th June 2001
Alma Halliwell,Bigamy committed,False
Alma Halliwell,Gender,Female
Alma Halliwell,Sibling(s),Kath Simpson
Alma Halliwell,Played by,Amanda Barrie
Alma Halliwell,Occupation,Caterer
Alma Halliwell,No times married,2.0
Alma Halliwell,First appearance,22nd June 1981
Alma Halliwell,Mother,Florrie Halliwell
Alma Halliwell,Born,18th October 1945
Alma Halliwell,Sec,Medium
Alma Halliwell,Birthplace,Rochdale
Alma Halliwell,Spouse(s),Jim Sedgewick (1976)  Mike Baldwin (1992)
Alma Halliwell,Sic,Accommodation & food services
Alma Halliwell,Last appearance,20th June 2001
Alma Halliwell,Number of appearances,1135
Alma Halliwell,Duration,"1981, 1982, 1988, 1989-2001"
Alma Halliwell,Father,George Halliwell
Alya Nazir,Bigamy committed,False
Alya Nazir,Sic,Accommodation & food services
Alya Nazir,Father,Kal Nazir
Alya Nazir,Duration,2014 to present
Alya Nazir,First appearance,25th June 2014
Alya Nazir,Sibling(s),Zeedan Nazir
Alya Nazir,Residence,6 Coronation Street
Alya Nazir,Gender,Female
Alya Nazir,Born,17th February 1993
Alya Nazir,Mother,Jamila Nazir
Alya Nazir,Played by,Sair Khan
Alya Nazir,Number of appearances,940 (as of Episode 11557/8)
Alya Nazir,Sec,Medium
Alya Nazir,Occupation,Co-owner of Speed Daal  Solicitor (trainee)
Alya Nazir,No times married,0.0
Amber Kalirai,No times married,0.0
Amber Kalirai,Number of appearances,250
Amber Kalirai,Father,Dev Alahan
Amber Kalirai,Born,9th January 1991
Amber Kalirai,Occupation,Shop assistant
Amber Kalirai,Residence,London
Amber Kalirai,Bigamy committed,False
Amber Kalirai,Played by,Nikki Patel
Amber Kalirai,Sic,"Wholesale, retail & repair of motor vehicles"
Amber Kalirai,First appearance,9th November 2005
Amber Kalirai,Sec,Low
Amber Kalirai,Sibling(s),Shareen (half-sister)  Aadi Alahan (half-brother)  Asha Alahan (half-sister)  Two other half-siblings
Amber Kalirai,Duration,"2005-2009, 2011-2012"
Amber Kalirai,Last appearance,23rd March 2012
Amber Kalirai,Mother,Ravinder Kalirai
Amber Kalirai,Gender,Female
Amy Barlow,Sibling(s),Emma Brooker (half-sister)Ruairi McDonald (half-brother)Oliver Battersby (half-brother)
Amy Barlow,Mother,Tracy Barlow
Amy Barlow,Gender,Female
Amy Barlow,First appearance,9th February 2004
Amy Barlow,Bigamy committed,False
Amy Barlow,Father,Steve McDonald
Amy Barlow,Born,9th February 2004
Amy Barlow,No times married,0.0
Amy Barlow,Duration,2004 to present
Amy Barlow,Sec,Low
Amy Barlow,Played by,"Holly Bowyer (2004)Rebecca Pike (2004-2005)Louisa Morris (2005)Rachel & Sarah Corker (2005)Madison Hampson (2005-2006)Amber Chadwick (2004, 2006-2010)Elle Mulvaney (2010 to present)"
Amy Barlow,Sic,Accommodation & food services
Amy Barlow,Birthplace,Weatherfield General
Amy Barlow,Residence,1 Coronation Street
Amy Barlow,Occupation,Waitress at Viaduct Bistro
Amy Barlow,Number of appearances,1164 (as of Episode 11557/8)
Andrea Beckett,Gender,Female
Andrea Beckett,Spouse(s),Neil Beckett (1994)
Andrea Beckett,Birthplace,Weatherfield
Andrea Beckett,Father,Roger
Andrea Beckett,Last appearance,25th September 2015
Andrea Beckett,Number of appearances,148
Andrea Beckett,No times married,1.0
Andrea Beckett,Duration,2013-2015
Andrea Beckett,Bigamy committed,False
Andrea Beckett,Children,Jessica Beckettsecond daughter (2016)
Andrea Beckett,Played by,Hayley Tamaddon
Andrea Beckett,First appearance,23rd December 2013
Andrea Beckett,Residence,Jersey
Andrea Clayton,Children,Paul Clayton (1986)
Andrea Clayton,Mother,Connie Clayton
Andrea Clayton,Number of appearances,41
Andrea Clayton,Played by,Caroline O'Neill
Andrea Clayton,Bigamy committed,False
Andrea Clayton,Father,Harry Clayton
Andrea Clayton,Last appearance,7th November 2001
Andrea Clayton,Gender,Female
Andrea Clayton,Duration,"1985, 2000, 2001"
Andrea Clayton,Sibling(s),Sue Clayton
Andrea Clayton,No times married,0.0
Andrea Clayton,First appearance,30th January 1985
Andrea Clayton,Born,3rd August 1967
Andy Carver,Died,27th October 2017
Andy Carver,Bigamy committed,False
Andy Carver,Duration,2014-2017
Andy Carver,Played by,Oliver Farnworth
Andy Carver,Last appearance,27th October 2017
Andy Carver,Born,8th June 1985
Andy Carver,Sec,Low
Andy Carver,First appearance,21st November 2014
Andy Carver,Gender,Male
Andy Carver,Number of appearances,213
Andy Carver,No times married,0.0
Andy Carver,Sic,Accommodation & food services
Andy Carver,Occupation,Waiter
Andy McDonald,Born,26th June 1974
Andy McDonald,Played by,Nicholas Cochrane
Andy McDonald,Duration,"1989-1997, 2000, 2004, 2009"
Andy McDonald,Occupation,Teacher  Freelance journalist
Andy McDonald,Bigamy committed,False
Andy McDonald,Number of appearances,610
Andy McDonald,Father,Jim McDonald
Andy McDonald,First appearance,6th December 1989
Andy McDonald,Mother,Liz McDonald
Andy McDonald,Gender,Male
Andy McDonald,Last appearance,20th August 2009
Andy McDonald,Sibling(s),Steve McDonald  Katie McDonald
Andy McDonald,Residence,Barcelona
Andy McDonald,No times married,0.0
Andy McDonald,Sec,Medium
Andy McDonald,Sic,Education
Andy McDonald,Birthplace,Belfast
Angela Harris,Father,Keith Appleyard
Angela Harris,Last appearance,2nd May 2005
Angela Harris,First appearance,13th November 2002
Angela Harris,Bigamy committed,False
Angela Harris,Sec,Low
Angela Harris,Mother,Shirley Appleyard
Angela Harris,Occupation,Factory worker
Angela Harris,Spouse(s),Tommy Harris (1985)
Angela Harris,Children,Katy Harris (1986)  Craig Harris (1990)
Angela Harris,Played by,Kathryn Hunt
Angela Harris,Duration,2002-2005
Angela Harris,Number of appearances,306
Angela Harris,Born,18th July 1964
Angela Harris,Gender,Female
Angela Harris,No times married,1.0
Angela Harris,Sic,Manufacturing
Angela Harris,Birthplace,Sheffield
Angela Harris,Sibling(s),Lorraine  Pauline
Angie Appleton,No times married,1.0
Angie Appleton,Birthplace,Ardwick
Angie Appleton,Gender,Female
Angie Appleton,Duration,2017-2019
Angie Appleton,First appearance,21st August 2017
Angie Appleton,Sec,Medium
Angie Appleton,Born,9th March 1986
Angie Appleton,Last appearance,7th January 2019
Angie Appleton,Number of appearances,94
Angie Appleton,Residence,South Africa
Angie Appleton,Bigamy committed,False
Angie Appleton,Sic,Financial & insurance activities
Angie Appleton,Occupation,Accountant
Angie Appleton,Played by,Victoria Ekanoye
Angie Appleton,Children,George Appleton (2017)
Angie Appleton,Spouse(s),Jude Appleton (2016)
Angie Freeman,Sic,"Professional, scientific & technical activities"
Angie Freeman,Born,20th June 1967
Angie Freeman,Mother,Ann Freeman
Angie Freeman,Bigamy committed,False
Angie Freeman,Sec,Medium
Angie Freeman,First appearance,8th October 1990
Angie Freeman,No times married,0.0
Angie Freeman,Played by,Deborah McAndrew
Angie Freeman,Number of appearances,345
Angie Freeman,Last appearance,10th April 1998
Angie Freeman,Gender,Female
Angie Freeman,Duration,"1990-1993, 1996-1998"
Angie Freeman,Occupation,Designer
Angie Freeman,Father,Geoffrey Freeman
Anna Windass,Occupation,Waitress  Cleaner
Anna Windass,Sibling(s),A brother
Anna Windass,Played by,Debbie Rush
Anna Windass,Last appearance,1st June 2018
Anna Windass,Sic,Accommodation & food services
Anna Windass,Bigamy committed,False
Anna Windass,Spouse(s),Eddie Windass (common-law)
Anna Windass,First appearance,14th November 2008
Anna Windass,Born,30th May 1967
Anna Windass,Sec,Low
Anna Windass,Residence,Durham
Anna Windass,Gender,Female
Anna Windass,Duration,2008-2018
Anna Windass,No times married,1.0
Anna Windass,Children,"Gary Windass (1986)  Faye Windass (adoptive, 2011)"
Anna Windass,Number of appearances,1059
Anne Malone,Bigamy committed,False
Anne Malone,Played by,Eve Steele
Anne Malone,Last appearance,11th October 1998
Anne Malone,No times married,0.0
Anne Malone,First appearance,8th September 1995
Anne Malone,Occupation,Shop supervisor
Anne Malone,Father,Ed Malone
Anne Malone,Died,9th October 1998
Anne Malone,Sec,Medium
Anne Malone,Duration,"1995-1997, 1998"
Anne Malone,Gender,Female
Anne Malone,Mother,Sarah Malone
Anne Malone,Number of appearances,100
Anne Malone,Sic,"Wholesale, retail & repair of motor vehicles"
Annie Walker,Bigamy committed,False
Annie Walker,First appearance,9th December 1960
Annie Walker,Sic,Accommodation & food services
Annie Walker,Played by,Doris Speed
Annie Walker,Birthplace,Clitheroe
Annie Walker,No times married,1.0
Annie Walker,Number of appearances,1723
Annie Walker,Occupation,Pub landlady
Annie Walker,Mother,Florence Beaumont
Annie Walker,Born,11th August 1909
Annie Walker,Father,Edward Beaumont
Annie Walker,Duration,1960-1983
Annie Walker,Sec,Medium
Annie Walker,Gender,Female
Annie Walker,Spouse(s),Jack Walker (1937)
Annie Walker,Children,Billy Walker (1938)Joan Walker (1940)
Annie Walker,Last appearance,12th October 1983
Anthony Stephens,First appearance,28th July 2000
Anthony Stephens,Sec,Medium
Anthony Stephens,Gender,Male
Anthony Stephens,Number of appearances,67
Anthony Stephens,Duration,2000-2001
Anthony Stephens,No times married,1.0
Anthony Stephens,Children,Gregory Stephens  Amanda Stephens
Anthony Stephens,Sic,"Wholesale, retail & repair of motor vehicles"
Anthony Stephens,Residence,New Zealand
Anthony Stephens,Sibling(s),Joan
Anthony Stephens,Occupation,Book shop owner
Anthony Stephens,Born,30th October
Anthony Stephens,Last appearance,1st July 2001
Anthony Stephens,Played by,John Quayle
Anthony Stephens,Bigamy committed,False
Anthony Stephens,Spouse(s),Isabel Stephens
Archie Shuttleworth,Played by,Roy Hudd
Archie Shuttleworth,Sic,Other services
Archie Shuttleworth,Children,George Shuttleworth  Glenda Shuttleworth
Archie Shuttleworth,Spouse(s),A wife  Joan
Archie Shuttleworth,Occupation,Undertaker
Archie Shuttleworth,Bigamy committed,False
Archie Shuttleworth,Born,14th September 1934
Archie Shuttleworth,Gender,Male
Archie Shuttleworth,First appearance,17th February 2002
Archie Shuttleworth,Last appearance,10th May 2010
Archie Shuttleworth,Duration,"2002-2003, 2006, 2010"
Archie Shuttleworth,Sec,Medium
Archie Shuttleworth,Died,12th December 2018
Archie Shuttleworth,Sibling(s),Stella
Archie Shuttleworth,No times married,2.0
Archie Shuttleworth,Number of appearances,116
Arnold Swain,Spouse(s),"Margaret Swain (1965)  Emily Bishop (1980, bigamous)"
Arnold Swain,First appearance,23rd April 1980
Arnold Swain,No times married,2.0
Arnold Swain,Sibling(s),Flora Swain
Arnold Swain,Played by,George Waring
Arnold Swain,Occupation,Pet shop owner
Arnold Swain,Gender,Male
Arnold Swain,Sec,Medium
Arnold Swain,Died,December 1981
Arnold Swain,Sic,"Wholesale, retail & repair of motor vehicles"
Arnold Swain,Bigamy committed,True
Arnold Swain,Last appearance,11th March 1981
Arnold Swain,Duration,1980-1981
Arnold Swain,Number of appearances,42
Asha Alahan,Residence,7 Coronation Street
Asha Alahan,Gender,Female
Asha Alahan,Occupation,Paramedic (trainee)
Asha Alahan,Sic,Human health & social work activities
Asha Alahan,Sec,Medium
Asha Alahan,Mother,Sunita Alahan
Asha Alahan,Birthplace,Weatherfield General
Asha Alahan,No times married,0.0
Asha Alahan,Duration,"2006, 2009 to present"
Asha Alahan,Born,"13th January 2006 (See ""Background information"" below)"
Asha Alahan,Number of appearances,596 (as of Episode 11557/8)
Asha Alahan,Played by,"Hannah, Harris & Ria Ahmed (2006)Tanisha Gorey (2009 to present)"
Asha Alahan,Sibling(s),Shareen (half-sister)  Amber Kalirai (half-sister)  Aadi Alahan  Two other half-siblings
Asha Alahan,Bigamy committed,False
Asha Alahan,Father,Dev Alahan
Asha Alahan,First appearance,13th January 2006
Ashley Peacock,Gender,Male
Ashley Peacock,First appearance,1st February 1995
Ashley Peacock,Father,Fred Elliott
Ashley Peacock,Born,24th January 1976
Ashley Peacock,Played by,Steven Arnold
Ashley Peacock,Bigamy committed,False
Ashley Peacock,Duration,"1995, 1996-2010"
Ashley Peacock,Children,Joshua Peacock (legal son)  Freddie Peacock (2006)
Ashley Peacock,Sec,Medium
Ashley Peacock,Mother,Kathleen Gutteridge
Ashley Peacock,Number of appearances,1274
Ashley Peacock,Sic,"Wholesale, retail & repair of motor vehicles"
Ashley Peacock,Occupation,Butcher
Ashley Peacock,Spouse(s),Maxine Heavey (1999)  Claire Casey (2004)
Ashley Peacock,No times married,2.0
Ashley Peacock,Last appearance,8th December 2010 (on-screen)  9th December 2010 (voice appearance)
Ashley Peacock,Died,6th December 2010
Audrey Fleming,Sec,Medium
Audrey Fleming,Occupation,Secretary
Audrey Fleming,Last appearance,13th May 1970
Audrey Fleming,Sic,Administrative & support services
Audrey Fleming,Spouse(s),Dickie Fleming (1968)
Audrey Fleming,Birthplace,Preston
Audrey Fleming,Gender,Female
Audrey Fleming,First appearance,5th June 1968
Audrey Fleming,Number of appearances,120
Audrey Fleming,Mother,Freda Bright
Audrey Fleming,Duration,1968-1970
Audrey Fleming,Born,19th May 1951
Audrey Fleming,Father,Arthur Bright
Audrey Fleming,Bigamy committed,False
Audrey Fleming,Played by,Gillian McCann
Audrey Fleming,No times married,1.0
Audrey Roberts,Sic,Other services
Audrey Roberts,Occupation,Hairdresser (retired)Owner/Administrator of Audrey's salon
Audrey Roberts,Played by,Sue Nicholls
Audrey Roberts,Number of appearances,3439 (as of Episode 11557/8)
Audrey Roberts,Duration,"1979, 1980-1981, 1982, 1984, 1985 to present"
Audrey Roberts,Bigamy committed,False
Audrey Roberts,Sec,Medium
Audrey Roberts,Mother,Nancy Potter
Audrey Roberts,Gender,Female
Audrey Roberts,Children,Stephen Potter (1957)Gail Potter (1958)
Audrey Roberts,Spouse(s),Alf Roberts (1985)
Audrey Roberts,Born,23rd July 1940
Audrey Roberts,First appearance,16th April 1979
Audrey Roberts,Father,Robert Potter
Audrey Roberts,No times married,1.0
Audrey Roberts,Residence,"5 Grasmere Drive, Oakhill"
Becky Mallett,Mother,Judy Mallett
Becky Mallett,First appearance,25th December 1998
Becky Mallett,Gender,Female
Becky Mallett,Played by,Megan FosterElizabeth Mackie
Becky Mallett,Number of appearances,68
Becky Mallett,Bigamy committed,False
Becky Mallett,Duration,1998-2000
Becky Mallett,Residence,Blackpool
Becky Mallett,Birthplace,Weatherfield
Becky Mallett,Born,25th December 1998
Becky Mallett,Father,Gary Mallett
Becky Mallett,No times married,0.0
Becky Mallett,Last appearance,1st October 2000
Becky Mallett,Sibling(s),Billy Mallett
Becky McDonald,Gender,Female
Becky McDonald,Sibling(s),Kylie Platt (half-sister)
Becky McDonald,Number of appearances,709
Becky McDonald,No times married,1.0
Becky McDonald,Born,1980
Becky McDonald,Residence,Belize
Becky McDonald,Occupation,Barmaid
Becky McDonald,Played by,Amanda Tyrell (2005)Katherine Kelly (2006-2012)
Becky McDonald,Duration,"2005, 2006-2012"
Becky McDonald,Last appearance,23rd January 2012
Becky McDonald,Bigamy committed,False
Becky McDonald,Spouse(s),Steve McDonald (2009)
Becky McDonald,Sic,Accommodation & food services
