Character,Birthplace,Children,Duration,Father,Gender,Mother,Number of appearances,Occupation,Played by,Residence,Sec,Sibling(s),Sic,Spouse(s),Born,Died,First appearance,Last appearance,Exit status,Exit date,Start date,Segment,Max segment
Alan Howard,,Mark Howard (c.1952),"1969-1974, 1977",,Male,,256,Businessman,Alan Browning,Gateshead,High,Three brothers,Financial & insurance activities,Laura Howard Elsie Tanner (1970),1924-04-23,,1969-12-01,1974-01-16,Exit,1974-01-16,1969-12-01,1,1
Alan McKenna,Darlington,Morgan Middleton (1998),1996-1997,Bernard McKenna,Male,Mary McKenna,87,Detective,Glenn Hugill,,Medium,,Public admin & defence; social security,,,,1996-11-08,1997-11-10,Exit,1997-11-10,1996-11-08,1,1
Albert Tatlock,Weatherfield,Beattie Tatlock (1933),1960-1984,William Tatlock,Male,Emmeline Tatlock,1304,Town Hall clerk (retired),Jack Howarth,,Medium,Alfred Tatlock,Public admin & defence; social security,Bessie Vickery (1919),1895-08-10,1984-05-14,1960-12-09,1984-01-23,Death,1984-05-14,1960-12-09,1,1
Alec Gilroy,,Sandra Gilroy (1958),"1972, 1975, 1986-1992, 1995, 1996-1998",Reg Gilroy,Male,Mabel Gilroy,850,Landlord  Theatrical agent  Nightclub manager,Roy Barraclough,Brighton,High,Edna GilroyBrenda Gilroy (half-sister),Real estate activities,Joyce Crosby (1955)  Bet Lynch (1987),1935-05-22,,1972-06-26,1998-12-30,Exit,1972-06-30,1972-06-26,1,3
Alec Gilroy,,Sandra Gilroy (1958),"1972, 1975, 1986-1992, 1995, 1996-1998",Reg Gilroy,Male,Mabel Gilroy,850,Landlord  Theatrical agent  Nightclub manager,Roy Barraclough,Brighton,High,Edna GilroyBrenda Gilroy (half-sister),Real estate activities,Joyce Crosby (1955)  Bet Lynch (1987),1935-05-22,,1972-06-26,1998-12-30,Exit,1992-06-30,1986-06-30,2,3
Alec Gilroy,,Sandra Gilroy (1958),"1972, 1975, 1986-1992, 1995, 1996-1998",Reg Gilroy,Male,Mabel Gilroy,850,Landlord  Theatrical agent  Nightclub manager,Roy Barraclough,Brighton,High,Edna GilroyBrenda Gilroy (half-sister),Real estate activities,Joyce Crosby (1955)  Bet Lynch (1987),1935-05-22,,1972-06-26,1998-12-30,Exit,1998-12-30,1995-06-30,3,3
Aled Winter-Brown,"Llandudno, Wales",,2019 to present,Chesney Winter-Brown,Male,Gemma Winter-Brown,105 (as of Episode 11557/8),,"Charlotte & James Holt (2019-2020)  Arthur, Lily & Lucy Taylor (2019-2020)  Harry & Harvey Thompson (2020)  Joseph Woods (2021 to present)",5 Coronation Street,,Joseph Brown (half-brother)  Bryn Winter-Brown  Carys Winter-Brown  Llio Winter-Brown,,,2019-10-30,,2019-10-30,,Alive,2025-06-30,2019-10-30,1,1
Alex Warner,,,2015 to present,Alan Matthews,Male,Nessa Warner,152 (as of Episode 11557/8),Waiter at Roy's Rolls,Liam Bairstow,,Low,,Accommodation & food services,,1987-07-21,,2015-09-13,,Alive,2025-06-30,2015-09-13,1,1
Alf Roberts,,,"1961, 1962, 1963, 1967,  1971-1999",Sidney Roberts,Male,Eileen Roberts,1780,Shopkeeper,Bryan Mosley,,Low,Malcolm Roberts,"Wholesale, retail & repair of motor vehicles",Phyllis Plant (1950)  Renee Bradshaw (1978)  Audrey Potter (1985),1926-10-07,1999-01-01,1961-02-08,1999-01-01,Exit,1963-06-30,1961-02-08,1,2
Alf Roberts,,,"1961, 1962, 1963, 1967,  1971-1999",Sidney Roberts,Male,Eileen Roberts,1780,Shopkeeper,Bryan Mosley,,Low,Malcolm Roberts,"Wholesale, retail & repair of motor vehicles",Phyllis Plant (1950)  Renee Bradshaw (1978)  Audrey Potter (1985),1926-10-07,1999-01-01,1961-02-08,1999-01-01,Death,1999-01-01,1971-06-30,2,2
Alfie Franklin,Weatherfield General,,2022 to present,Imran Habeeb,Male,Abi Webster,65 (as of Episode 11557/8),,Carter & Oakley Razak Townsend,13 Coronation Street,,Seb Franklin (half-brother)Charlie Franklin (half-brother)Lexi Franklin (half-sister),,,2022-03-06,,2022-03-07,,Alive,2025-06-30,2022-03-07,1,1
Ali Neeson,Weatherfield,,"2007-2008, 2018-2020",Dean (biological)Nick Neeson (legal father),Male,Michelle Connor (biological)Wendy Neeson (legal mother),215,Trainee general practitioner,Dario Coates (2007-2008)James Burrows (2018-2020),Liverpool,Medium,Ryan Connor (legal brother)  Ruairi McDonald (half-brother),Human health & social work activities,,1992-01-14,,2007-12-17,2020-03-13,Exit,2008-06-30,2007-12-17,1,2
Ali Neeson,Weatherfield,,"2007-2008, 2018-2020",Dean (biological)Nick Neeson (legal father),Male,Michelle Connor (biological)Wendy Neeson (legal mother),215,Trainee general practitioner,Dario Coates (2007-2008)James Burrows (2018-2020),Liverpool,Medium,Ryan Connor (legal brother)  Ruairi McDonald (half-brother),Human health & social work activities,,1992-01-14,,2007-12-17,2020-03-13,Exit,2020-03-13,2018-06-30,2,2
Alina Pop,,Dorin Pop (2022),"2019-2021, 2024",,Female,,180,Telesales agent,Ruxandra Porojnicu,"Brasov, Romania",Low,Andrei,"Wholesale, retail & repair of motor vehicles",,1998-10-01,,2019-04-22,2024-09-18,Exit,2021-06-30,2019-04-22,1,2
Alina Pop,,Dorin Pop (2022),"2019-2021, 2024",,Female,,180,Telesales agent,Ruxandra Porojnicu,"Brasov, Romania",Low,Andrei,"Wholesale, retail & repair of motor vehicles",,1998-10-01,,2019-04-22,2024-09-18,Exit,2024-09-18,2024-06-30,2,2
Alison Webster,,Jake Webster (2000),1998-2000,Bob Wakefield,Female,Joan Wakefield,133,Factory machinist,Naomi Radcliffe,,Low,Cheryl Wakefield,Manufacturing,Kevin Webster (2000),,2000-06-07,1998-12-28,2000-06-07,Death,2000-06-07,1998-12-28,1,1
Alma Halliwell,Rochdale,,"1981, 1982, 1988, 1989-2001",George Halliwell,Female,Florrie Halliwell,1135,Caterer,Amanda Barrie,,Medium,Kath Simpson,Accommodation & food services,Jim Sedgewick (1976)  Mike Baldwin (1992),1945-10-18,2001-06-17,1981-06-22,2001-06-20,Exit,1982-06-30,1981-06-22,1,2
Alma Halliwell,Rochdale,,"1981, 1982, 1988, 1989-2001",George Halliwell,Female,Florrie Halliwell,1135,Caterer,Amanda Barrie,,Medium,Kath Simpson,Accommodation & food services,Jim Sedgewick (1976)  Mike Baldwin (1992),1945-10-18,2001-06-17,1981-06-22,2001-06-20,Death,2001-06-17,1988-06-30,2,2
Alya Nazir,,,2014 to present,Kal Nazir,Female,Jamila Nazir,940 (as of Episode 11557/8),Co-owner of Speed Daal  Solicitor (trainee),Sair Khan,6 Coronation Street,Medium,Zeedan Nazir,Accommodation & food services,,1993-02-17,,2014-06-25,,Alive,2025-06-30,2014-06-25,1,1
Amber Kalirai,,,"2005-2009, 2011-2012",Dev Alahan,Female,Ravinder Kalirai,250,Shop assistant,Nikki Patel,London,Low,Shareen (half-sister)  Aadi Alahan (half-brother)  Asha Alahan (half-sister)  Two other half-siblings,"Wholesale, retail & repair of motor vehicles",,1991-01-09,,2005-11-09,2012-03-23,Exit,2009-06-30,2005-11-09,1,2
Amber Kalirai,,,"2005-2009, 2011-2012",Dev Alahan,Female,Ravinder Kalirai,250,Shop assistant,Nikki Patel,London,Low,Shareen (half-sister)  Aadi Alahan (half-brother)  Asha Alahan (half-sister)  Two other half-siblings,"Wholesale, retail & repair of motor vehicles",,1991-01-09,,2005-11-09,2012-03-23,Exit,2012-03-23,2011-06-30,2,2
Amy Barlow,Weatherfield General,,2004 to present,Steve McDonald,Female,Tracy Barlow,1164 (as of Episode 11557/8),Waitress at Viaduct Bistro,"Holly Bowyer (2004)Rebecca Pike (2004-2005)Louisa Morris (2005)Rachel & Sarah Corker (2005)Madison Hampson (2005-2006)Amber Chadwick (2004, 2006-2010)Elle Mulvaney (2010 to present)",1 Coronation Street,Low,Emma Brooker (half-sister)Ruairi McDonald (half-brother)Oliver Battersby (half-brother),Accommodation & food services,,2004-02-09,,2004-02-09,,Alive,2025-06-30,2004-02-09,1,1
Andrea Beckett,Weatherfield,Jessica Beckettsecond daughter (2016),2013-2015,Roger,Female,,148,,Hayley Tamaddon,Jersey,,,,Neil Beckett (1994),,,2013-12-23,2015-09-25,Exit,2015-09-25,2013-12-23,1,1
Andrea Clayton,,Paul Clayton (1986),"1985, 2000, 2001",Harry Clayton,Female,Connie Clayton,41,,Caroline O'Neill,,,Sue Clayton,,,1967-08-03,,1985-01-30,2001-11-07,Exit,1985-06-30,1985-01-30,1,2
Andrea Clayton,,Paul Clayton (1986),"1985, 2000, 2001",Harry Clayton,Female,Connie Clayton,41,,Caroline O'Neill,,,Sue Clayton,,,1967-08-03,,1985-01-30,2001-11-07,Exit,2001-11-07,2000-06-30,2,2
Andy Carver,,,2014-2017,,Male,,213,Waiter,Oliver Farnworth,,Low,,Accommodation & food services,,1985-06-08,2017-10-27,2014-11-21,2017-10-27,Death,2017-10-27,2014-11-21,1,1
Andy McDonald,Belfast,,"1989-1997, 2000, 2004, 2009",Jim McDonald,Male,Liz McDonald,610,Teacher  Freelance journalist,Nicholas Cochrane,Barcelona,Medium,Steve McDonald  Katie McDonald,Education,,1974-06-26,,1989-12-06,2009-08-20,Exit,1997-06-30,1989-12-06,1,2
Andy McDonald,Belfast,,"1989-1997, 2000, 2004, 2009",Jim McDonald,Male,Liz McDonald,610,Teacher  Freelance journalist,Nicholas Cochrane,Barcelona,Medium,Steve McDonald  Katie McDonald,Education,,1974-06-26,,1989-12-06,2009-08-20,Exit,2009-08-20,2009-06-30,2,2
Angela Harris,Sheffield,Katy Harris (1986)  Craig Harris (1990),2002-2005,Keith Appleyard,Female,Shirley Appleyard,306,Factory worker,Kathryn Hunt,,Low,Lorraine  Pauline,Manufacturing,Tommy Harris (1985),1964-07-18,,2002-11-13,2005-05-02,Exit,2005-05-02,2002-11-13,1,1
Angie Appleton,Ardwick,George Appleton (2017),2017-2019,,Female,,94,Accountant,Victoria Ekanoye,South Africa,High,,Financial & insurance activities,Jude Appleton (2016),1986-03-09,,2017-08-21,2019-01-07,Exit,2019-01-07,2017-08-21,1,1
Angie Freeman,,,"1990-1993, 1996-1998",Geoffrey Freeman,Female,Ann Freeman,345,Designer,Deborah McAndrew,,Medium,,"Professional, scientific & technical activities",,1967-06-20,,1990-10-08,1998-04-10,Exit,1993-06-30,1990-10-08,1,2
Angie Freeman,,,"1990-1993, 1996-1998",Geoffrey Freeman,Female,Ann Freeman,345,Designer,Deborah McAndrew,,Medium,,"Professional, scientific & technical activities",,1967-06-20,,1990-10-08,1998-04-10,Exit,1998-04-10,1996-06-30,2,2
Anna Windass,,"Gary Windass (1986)  Faye Windass (adoptive, 2011)",2008-2018,,Female,,1059,Waitress  Cleaner,Debbie Rush,Durham,Low,A brother,Accommodation & food services,Eddie Windass (common-law),1967-05-30,,2008-11-14,2018-06-01,Exit,2018-06-01,2008-11-14,1,1
Anne Malone,,,"1995-1997, 1998",Ed Malone,Female,Sarah Malone,100,Shop supervisor,Eve Steele,,Low,,"Wholesale, retail & repair of motor vehicles",,,1998-10-09,1995-09-08,1998-10-11,Death,1998-10-09,1995-09-08,1,1
Annie Walker,Clitheroe,Billy Walker (1938)Joan Walker (1940),1960-1983,Edward Beaumont,Female,Florence Beaumont,1723,Pub landlady,Doris Speed,,Medium,,Accommodation & food services,Jack Walker (1937),1909-08-11,,1960-12-09,1983-10-12,Exit,1983-10-12,1960-12-09,1,1
Anthony Stephens,,Gregory Stephens  Amanda Stephens,2000-2001,,Male,,67,Book shop owner,John Quayle,New Zealand,Medium,Joan,"Wholesale, retail & repair of motor vehicles",Isabel Stephens,,,2000-07-28,2001-07-01,Exit,2001-07-01,2000-07-28,1,1
Archie Shuttleworth,,George Shuttleworth  Glenda Shuttleworth,"2002-2003, 2006, 2010",,Male,,116,Undertaker,Roy Hudd,,Medium,Stella,Other services,A wife  Joan,1934-09-14,2018-12-12,2002-02-17,2010-05-10,Exit,2003-06-30,2002-02-17,1,2
Archie Shuttleworth,,George Shuttleworth  Glenda Shuttleworth,"2002-2003, 2006, 2010",,Male,,116,Undertaker,Roy Hudd,,Medium,Stella,Other services,A wife  Joan,1934-09-14,2018-12-12,2002-02-17,2010-05-10,Exit,2010-05-10,2010-05-09,2,2
Arnold Swain,,,1980-1981,,Male,,42,Pet shop owner,George Waring,,Medium,Flora Swain,"Wholesale, retail & repair of motor vehicles","Margaret Swain (1965)  Emily Bishop (1980, bigamous)",,1981-12-27,1980-04-23,1981-03-11,Death,1981-12-27,1980-04-23,1,1
Asha Alahan,Weatherfield General,,"2006, 2009 to present",Dev Alahan,Female,Sunita Alahan,596 (as of Episode 11557/8),Paramedic (trainee),"Hannah, Harris & Ria Ahmed (2006)Tanisha Gorey (2009 to present)",7 Coronation Street,Medium,Shareen (half-sister)  Amber Kalirai (half-sister)  Aadi Alahan  Two other half-siblings,Human health & social work activities,,2006-01-13,,2006-01-13,,Exit,2006-06-30,2006-01-13,1,2
Asha Alahan,Weatherfield General,,"2006, 2009 to present",Dev Alahan,Female,Sunita Alahan,596 (as of Episode 11557/8),Paramedic (trainee),"Hannah, Harris & Ria Ahmed (2006)Tanisha Gorey (2009 to present)",7 Coronation Street,Medium,Shareen (half-sister)  Amber Kalirai (half-sister)  Aadi Alahan  Two other half-siblings,Human health & social work activities,,2006-01-13,,2006-01-13,,Alive,2025-06-30,2009-06-30,2,2
Ashley Peacock,,Joshua Peacock (legal son)  Freddie Peacock (2006),"1995, 1996-2010",Fred Elliott,Male,Kathleen Gutteridge,1274,Butcher,Steven Arnold,,Low,,"Wholesale, retail & repair of motor vehicles",Maxine Heavey (1999)  Claire Casey (2004),1976-01-24,2010-12-06,1995-02-01,2010-12-08,Death,2010-12-06,1995-02-01,1,1
Audrey Fleming,Preston,,1968-1970,Arthur Bright,Female,Freda Bright,120,Secretary,Gillian McCann,,Medium,,Administrative & support services,Dickie Fleming (1968),1951-05-19,,1968-06-05,1970-05-13,Exit,1970-05-13,1968-06-05,1,1
Audrey Roberts,,Stephen Potter (1957)Gail Potter (1958),"1979, 1980-1981, 1982, 1984, 1985 to present",Robert Potter,Female,Nancy Potter,3439 (as of Episode 11557/8),Hairdresser (retired)Owner/Administrator of Audrey's salon,Sue Nicholls,"5 Grasmere Drive, Oakhill",Medium,,Other services,Alf Roberts (1985),1940-07-23,,1979-04-16,,Exit,1982-06-30,1979-04-16,1,2
Audrey Roberts,,Stephen Potter (1957)Gail Potter (1958),"1979, 1980-1981, 1982, 1984, 1985 to present",Robert Potter,Female,Nancy Potter,3439 (as of Episode 11557/8),Hairdresser (retired)Owner/Administrator of Audrey's salon,Sue Nicholls,"5 Grasmere Drive, Oakhill",Medium,,Other services,Alf Roberts (1985),1940-07-23,,1979-04-16,,Alive,2025-06-30,1984-06-30,2,2
Becky Mallett,Weatherfield,,1998-2000,Gary Mallett,Female,Judy Mallett,68,,Megan FosterElizabeth Mackie,Blackpool,,Billy Mallett,,,1998-12-25,,1998-12-25,2000-10-01,Exit,2000-10-01,1998-12-25,1,1
Becky McDonald,,,"2005, 2006-2012",,Female,,709,Barmaid,Amanda Tyrell (2005)Katherine Kelly (2006-2012),Belize,Low,Kylie Platt (half-sister),Accommodation & food services,Steve McDonald (2009),1980-08-01,,2005-08-24,2012-01-23,Exit,2012-01-23,2005-08-24,1,1
Becky Palmer,,,1996-1997,Jeff Palmer,Female,Claire Palmer,51,,Emily Aston,,,,,,1982-12-09,,1996-05-20,1997-03-16,Exit,1997-03-16,1996-05-20,1,1
Ben Watts,7 Coronation Street,,2001-2003,Curly Watts,Male,Emma Watts,88,,Stephen Collins,Newcastle,,Alice Watts (half-sister),,,2001-12-26,,2001-12-26,2003-09-01,Exit,2003-09-01,2001-12-26,1,1
Bernard Butler,,,1969-1970,Terry Butler,Male,Fay Butler,37,Hairdresser,Gorden Kaye,Saddleworth,Low,Sandra Butler,Other services,,,,1969-11-17,1970-06-29,Exit,1970-06-29,1969-11-17,1,1
Bernie Winter,,Paul Foreman (1990)Gemma Winter (1990)Kit Green (1993),2019 to present,,Female,,537 (as of Episode 11557/8),Assistant at Prima DonerWaitress at Roy's Rolls,Jane Hazlegrove,5 Coronation Street,Low,Mike Winter,Accommodation & food services,,,,2019-07-24,,Alive,2025-06-30,2019-07-24,1,1
Bert Tilsley,,Brian Tilsley (1958),1979-1983,,Male,,221,Fitter,Peter Dudley,,Low,Trevor Tilsley  Ethel Latimer  Doris Tilsley,Manufacturing,Ivy Nelson (1956),1935-06-08,1984-01-16,1979-01-29,1983-07-27,Death,1984-01-16,1979-01-29,1,1
Bertie Osbourne,Weatherfield General,,2019 to present,Daniel Osbourne,Male,Sinead Tinker,144 (as of Episode 11557/8),,Ellis Blain (2019-2020)Elias Morgan-Smith (2019-2020)Rufus Morgan-Smith (2019 to present),19a Victoria Street,,,,,2019-01-14,,2019-01-14,,Alive,2025-06-30,2019-01-14,1,1
Bet Lynch,Weatherfield,Martin Downes (1956),"1966, 1970-1995, 2002, 2003",Patrick Lynch,Female,Mary Lynch,1979,Landlady,Julie Goodyear,Brighton,Medium,,Real estate activities,Alec Gilroy (1987),1940-05-04,,1966-05-25,2003-11-30,Exit,1966-06-30,1966-05-25,1,3
Bet Lynch,Weatherfield,Martin Downes (1956),"1966, 1970-1995, 2002, 2003",Patrick Lynch,Female,Mary Lynch,1979,Landlady,Julie Goodyear,Brighton,Medium,,Real estate activities,Alec Gilroy (1987),1940-05-04,,1966-05-25,2003-11-30,Exit,1995-06-30,1970-06-30,2,3
Bet Lynch,Weatherfield,Martin Downes (1956),"1966, 1970-1995, 2002, 2003",Patrick Lynch,Female,Mary Lynch,1979,Landlady,Julie Goodyear,Brighton,Medium,,Real estate activities,Alec Gilroy (1987),1940-05-04,,1966-05-25,2003-11-30,Exit,2003-11-30,2002-06-30,3,3
Beth Sutherland,,Craig Tinker (1998),2011-2024,,Female,Nancy Tinker,988,Machinist,Lisa George,Norfolk,Low,Arlene Tinker,Manufacturing,"Darryl ParkinsKirk Sutherland (2015, bigamous)",1974-11-21,,2011-08-05,2024-08-30,Exit,2024-08-30,2011-08-05,1,1
Bethany Platt,Weatherfield,,"2000-2007, 2015-2020, 2023 to present",Neil Fearns,Female,Sarah Platt,1050 (as of Episode 11557/8),Magazine writer,Mia Cookson (2000)  Amy & Emily Walton (2000-2007)  Lucy Fallon (2015 to present),London,Medium,Billy Platt (half-brother)  Harry Platt (half-brother),Information & communication,,2000-06-04,,2000-06-04,,Exit,2007-06-30,2000-06-04,1,3
Bethany Platt,Weatherfield,,"2000-2007, 2015-2020, 2023 to present",Neil Fearns,Female,Sarah Platt,1050 (as of Episode 11557/8),Magazine writer,Mia Cookson (2000)  Amy & Emily Walton (2000-2007)  Lucy Fallon (2015 to present),London,Medium,Billy Platt (half-brother)  Harry Platt (half-brother),Information & communication,,2000-06-04,,2000-06-04,,Exit,2020-06-30,2015-06-30,2,3
Bethany Platt,Weatherfield,,"2000-2007, 2015-2020, 2023 to present",Neil Fearns,Female,Sarah Platt,1050 (as of Episode 11557/8),Magazine writer,Mia Cookson (2000)  Amy & Emily Walton (2000-2007)  Lucy Fallon (2015 to present),London,Medium,Billy Platt (half-brother)  Harry Platt (half-brother),Information & communication,,2000-06-04,,2000-06-04,,Alive,2025-06-30,2023-06-30,3,3
Betsy Swain,,,2024 to present,,Female,Becky Swain (biological)Lisa Swain,133 (as of Episode 11557/8),Machinist,Sydney Martin,15a Victoria Street,Low,,Manufacturing,,2008-06-01,,2024-05-28,,Alive,2025-06-30,2024-05-28,1,1
Betty Williams,"6 Tile Street,Weatherfield",Gordon Clegg (1950),1969-2011,Harold Preston,Female,Margaret Preston,2734,Barmaid,Betty Driver,,Low,Maggie Cooke,Accommodation & food services,Cyril TurpinBilly Williams (1995),1920-02-04,2012-04-16,1969-06-02,2011-05-27,Death,2012-04-16,1969-06-02,1,1
Bev Unwin,,Shelley Unwin (1973)  Sharon Unwin,"2003-2004, 2005-2006, 2015",,Female,,376,Barmaid,Susie Blake,Peak District,Low,Lenny Baker,Accommodation & food services,Jimmy Unwin,1955-06-01,,2003-03-24,2015-07-15,Exit,2006-06-30,2003-03-24,1,2
Bev Unwin,,Shelley Unwin (1973)  Sharon Unwin,"2003-2004, 2005-2006, 2015",,Female,,376,Barmaid,Susie Blake,Peak District,Low,Lenny Baker,Accommodation & food services,Jimmy Unwin,1955-06-01,,2003-03-24,2015-07-15,Exit,2015-07-15,2015-06-30,2,2
Bill Webster,,Kevin Webster (1965)  Debbie Webster (1968)  Carl Webster (1986),"1984-1985, 1995-1997, 2006-2011",Jim Webster,Male,Helen Webster,558,Builder (Retired),Peter Armitage,Germany,Low,,Construction,Alison Cartwright (1964)  Elaine Prior (1985)  Maureen Elliott (1998),1942-11-02,2023-04-03,1984-02-06,2011-12-29,Exit,1985-06-30,1984-02-06,1,3
Bill Webster,,Kevin Webster (1965)  Debbie Webster (1968)  Carl Webster (1986),"1984-1985, 1995-1997, 2006-2011",Jim Webster,Male,Helen Webster,558,Builder (Retired),Peter Armitage,Germany,Low,,Construction,Alison Cartwright (1964)  Elaine Prior (1985)  Maureen Elliott (1998),1942-11-02,2023-04-03,1984-02-06,2011-12-29,Exit,1997-06-30,1995-06-30,2,3
Bill Webster,,Kevin Webster (1965)  Debbie Webster (1968)  Carl Webster (1986),"1984-1985, 1995-1997, 2006-2011",Jim Webster,Male,Helen Webster,558,Builder (Retired),Peter Armitage,Germany,Low,,Construction,Alison Cartwright (1964)  Elaine Prior (1985)  Maureen Elliott (1998),1942-11-02,2023-04-03,1984-02-06,2011-12-29,Exit,2011-12-29,2006-06-30,3,3
Billy Mallett,Weatherfield,,1998-2000,Gary Mallett,Male,Judy Mallett,63,,Lewis Ablett,Blackpool,,Becky Mallett,,,1998-12-25,,1998-12-25,2000-10-01,Exit,2000-10-01,1998-12-25,1,1
Billy Mayhew,,,2014 to present,Fred Mayhew,Male,Sandra Mayhew,982 (as of Episode 11557/8),Archdeacon,Daniel Brocklebank,19a Rosamund Street,High,Lee Mayhew,Education,Paul Foreman (2023),1979-02-23,,2014-12-05,,Alive,2025-06-30,2014-12-05,1,1
Billy Walker,Weatherfield,,"1961, 1962, 1963, 1964, 1969, 1970-1971, 1972-1973, 1974-1975, 1977, 1978, 1979, 1984",Jack Walker,Male,Annie Walker,405,Mechanic,Kenneth Farrington,Jersey,Low,Joan Davies,"Wholesale, retail & repair of motor vehicles",,1938-09-08,,1961-01-27,1984-12-05,Exit,1964-06-30,1961-01-27,1,4
Billy Walker,Weatherfield,,"1961, 1962, 1963, 1964, 1969, 1970-1971, 1972-1973, 1974-1975, 1977, 1978, 1979, 1984",Jack Walker,Male,Annie Walker,405,Mechanic,Kenneth Farrington,Jersey,Low,Joan Davies,"Wholesale, retail & repair of motor vehicles",,1938-09-08,,1961-01-27,1984-12-05,Exit,1975-06-30,1969-06-30,2,4
Billy Walker,Weatherfield,,"1961, 1962, 1963, 1964, 1969, 1970-1971, 1972-1973, 1974-1975, 1977, 1978, 1979, 1984",Jack Walker,Male,Annie Walker,405,Mechanic,Kenneth Farrington,Jersey,Low,Joan Davies,"Wholesale, retail & repair of motor vehicles",,1938-09-08,,1961-01-27,1984-12-05,Exit,1979-06-30,1977-06-30,3,4
Billy Walker,Weatherfield,,"1961, 1962, 1963, 1964, 1969, 1970-1971, 1972-1973, 1974-1975, 1977, 1978, 1979, 1984",Jack Walker,Male,Annie Walker,405,Mechanic,Kenneth Farrington,Jersey,Low,Joan Davies,"Wholesale, retail & repair of motor vehicles",,1938-09-08,,1961-01-27,1984-12-05,Exit,1984-12-05,1984-06-30,4,4
Billy Williams,,Phil Williams,1995-1997,,Male,,60,,Frank Mills,,,,,Betty Turpin (1995),1921-08-18,1997-11-03,1995-05-08,1997-02-14,Death,1997-11-03,1995-05-08,1,1
